2019-11-03 15:29:33 [main] INFO  FilterResults_Page:191 - It filtered by beds correctly.
2019-11-03 15:39:32 [main] INFO  FilterResults_Page:241 - It filtered by baths correctly.
2019-11-03 16:11:20 [main] INFO  Login_Page:49 - Check email field is required: true
2019-11-03 16:20:55 [main] INFO  Search:154 - resultaddress is: 12512 Brighton Place Tustin, CA 92780
2019-11-03 16:21:11 [main] INFO  SortResults_Page:496 - Original order is: [9 9 8 7 7 7 6 6 5 5]

2019-11-03 16:21:11 [main] INFO  SortResults_Page:497 - Sorted descending order is: [9 9 8 7 7 7 6 6 5 5]

2019-11-03 16:21:11 [main] INFO  SortResults_Page:501 - It has sorted in descending order.
2019-11-03 16:21:19 [main] INFO  SortResults_Page:583 - Original order is: [1 1 2 2 2 2 2 2 2 2]

2019-11-03 16:21:19 [main] INFO  SortResults_Page:584 - Sorted ascending order is: [1 1 2 2 2 2 2 2 2 2]

2019-11-03 16:21:19 [main] INFO  SortResults_Page:588 - It has sorted in ascending order.
2019-11-03 16:21:34 [main] INFO  SortResults_Page:323 - Original order is: [5 5 5 5 5 5 4 4 4 4]

2019-11-03 16:21:34 [main] INFO  SortResults_Page:324 - Sorted descending order is: [5 5 5 5 5 5 4 4 4 4]

2019-11-03 16:21:34 [main] INFO  SortResults_Page:328 - It has sorted in descending order.
2019-11-03 16:21:43 [main] INFO  SortResults_Page:410 - Original order is: [1 1 1 1 2 2 2 2 2 2]

2019-11-03 16:21:43 [main] INFO  SortResults_Page:411 - Sorted ascending order is: [1 1 1 1 2 2 2 2 2 2]

2019-11-03 16:21:43 [main] INFO  SortResults_Page:415 - It has sorted in ascending order.
2019-11-03 16:22:13 [main] INFO  SortResults_Page:72 - Newicon says: NEW

2019-11-03 16:22:13 [main] INFO  SortResults_Page:76 - It has sorted by most recent order.
2019-11-03 16:22:29 [main] INFO  SortResults_Page:154 - Original order is: [19800000 19000000 12888000 11995000 10750000]

2019-11-03 16:22:29 [main] INFO  SortResults_Page:155 - Sorted descending order is: [19800000 19000000 12888000 11995000 10750000]

2019-11-03 16:22:29 [main] INFO  SortResults_Page:159 - It has sorted in descending order.
2019-11-03 16:22:37 [main] INFO  SortResults_Page:236 - Original order is: [1800 249900 305000 320000 325000]

2019-11-03 16:22:37 [main] INFO  SortResults_Page:237 - Sorted ascending order is: [1800 249900 305000 320000 325000]

2019-11-03 16:22:37 [main] INFO  SortResults_Page:241 - It has sorted in ascending order.
2019-11-03 16:22:56 [main] INFO  FilterMoreResults_Page:877 - verify filter keyword - scroll property description text into view.
2019-11-03 16:22:56 [main] INFO  FilterMoreResults_Page:883 - It filtered by keyword correctly
2019-11-03 16:23:16 [main] INFO  FilterMoreResults_Page:1009 - It filtered by property type correctly
2019-11-03 16:23:41 [main] INFO  FilterMoreResults_Page:541 - It filtered by square feet correctly
2019-11-03 16:24:23 [main] INFO  FilterResults_Page:181 - It filtered by beds correctly.
2019-11-03 16:24:41 [main] INFO  FilterResults_Page:90 - Filter results max price is $1299900

2019-11-03 16:24:50 [main] INFO  FilterResults_Page:114 - Filter results min price is $800000

2019-11-03 16:24:50 [main] INFO  FilterResults_Page:119 - Search for price between 800000 and 1300000

2019-11-03 16:24:50 [main] INFO  FilterResults_Page:123 - It filtered by price correctly.
2019-11-03 16:25:06 [main] INFO  FilterResults_Page:241 - It filtered by baths correctly.
2019-11-03 16:36:35 [main] INFO  FilterMoreResults_Page:838 - min year: 2000
2019-11-03 16:36:35 [main] INFO  FilterMoreResults_Page:839 - max year 2017
2019-11-03 16:36:35 [main] INFO  FilterMoreResults_Page:840 - prop1_year is : 2015
2019-11-03 16:36:35 [main] INFO  FilterMoreResults_Page:845 - It filtered by year correctly
2019-11-03 16:37:40 [main] INFO  Search:154 - resultaddress is: 12512 Brighton Place Tustin, CA 92780
